first,second
y_bb,[33379.0 33379.0 -0.0 -0.0 -0.0 -0.0 29654.0 -0.0 -0.0; -0.0 -0.0 -0.0 7451.0 -0.0 -0.0 -0.0 -0.0 -0.0; -0.0 -0.0 33379.0 -0.0 9321.0 5482.0 -0.0 3798.0 3273.0; -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0;;; 23535.0 9321.0 -0.0 -0.0 -0.0 -0.0 33379.0 -0.0 -0.0; -0.0 -0.0 -0.0 3725.0 -0.0 -0.0 -0.0 -0.0 -0.0; -0.0 -0.0 24059.0 -0.0 9321.0 5482.0 -0.0 3798.0 3273.0; -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0]
evol_box,"[[0.488, 0.0], [1.174, 100137.0], [1.275, 2.6202515e6], [1.286, 2.6202515e6], [1.294, 2.6202515e6], [1.306, 2.6202515e6], [1.319, 2.6352725e6], [1.337, 2.6792555e6], [1.363, 2.7291029e6], [1.384, 2.7441229999999977e6], [1.406, 2.945350099999994e6], [1.422, 2.945350099999999e6], [1.437, 3.2373625e6], [1.453, 3.2622845e6], [1.469, 3.2688814999999977e6], [1.486, 3.2920843999999864e6], [1.507, 3.459771699999997e6], [1.524, 3.4704006e6], [1.546, 3.486931499999998e6], [1.564, 3.5060805e6], [1.582, 3.5097956999999937e6], [1.615, 3.5136123000000003e6], [1.681, 3.5256525e6], [1.764, 3.5346621e6], [1.801, 3.6352661e6], [1.841, 3.6394622e6], [1.906, 3.6460339000000004e6], [2.012, 3.6493234000000004e6], [2.119, 3.6621339000000004e6], [2.172, 3.6694548000000003e6], [2.212, 3.6763143000000003e6], [2.288, 3.6830202e6], [2.361, 3.6881988000000003e6], [2.412, 3.7008638000000003e6], [2.494, 3.7099758000000003e6], [2.612, 3.7135288000000003e6], [2.713, 3.797082e6], [2.874, 3.797082e6], [2.998, 3.797082e6], [3.133, 3.8032299000000004e6], [3.181, 3.8047437e6], [3.302, 3.8104625e6], [3.413, 3.8155085e6], [3.662, 3.8431377e6], [3.77, 3.8512433000000003e6], [3.955, 3.8623681e6], [4.104, 3.8685988000000003e6], [4.251, 3.8765733000000003e6], [4.382, 3.878198e6], [4.59, 3.8789169000000004e6], [4.715, 3.8796393000000003e6], [4.863, 3.8822175e6], [4.988, 3.8822877e6], [5.113, 3.8848441e6], [5.378, 3.886662e6], [5.498, 3.8884613000000003e6], [5.614, 3.8898723000000003e6], [5.736, 3.8905095e6], [5.855, 3.89505e6], [5.988, 3.89505e6], [6.121, 3.8986961e6], [6.272, 3.8987409000000004e6], [6.406, 3.8994517e6], [6.543, 3.9001027e6], [6.677, 3.9008405e6], [6.833, 3.9010358000000003e6], [7.007, 3.903528e6], [7.167, 3.903528e6], [7.349, 3.9041604000000004e6], [7.494, 3.9055756e6], [7.665, 3.9057286e6], [7.831, 3.9057781e6], [8.019, 3.9059175e6], [8.194, 3.9060331e6], [8.33, 3.9060331e6], [8.523, 3.9062655e6], [8.71, 3.9062755e6], [8.863, 3.9062755e6], [9.036, 3.9062755e6], [9.171, 3.9062755e6], [9.324, 3.9062755e6], [9.554, 3.9062755e6], [9.736, 3.9062755e6], [9.901, 3.9066645e6], [10.143, 3.9066849000000004e6], [10.288, 3.9069001e6], [10.475, 3.9069001e6], [10.648, 3.9069697e6], [10.898, 3.9069787e6], [11.273, 3.9069787e6], [11.475, 3.906982e6], [11.7, 3.906982e6], [11.907, 3.906982e6], [12.098, 3.906982e6], [12.286, 3.906982e6], [12.498, 3.906982e6], [12.812, 3.906982e6], [12.949, 3.906982e6], [13.191, 3.906982e6], [13.523, 3.906982e6], [13.736, 3.906982e6], [13.941, 3.906982e6]]"
y_pb,[[33379.0 33379.0 -0.0 -0.0 -0.0 -0.0 33379.0 -0.0 -0.0; -0.0 -0.0 -0.0 7451.0 -0.0 -0.0 -0.0 -0.0 -0.0; -0.0 -0.0 33379.0 -0.0 9321.0 5482.0 -0.0 3798.0 3273.0; -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0;;;]]
s_box,[-0.0 -0.0; -0.0 -0.0; -0.0 -0.0; -0.0 -0.0; -0.0 -0.0; -0.0 -0.0; -0.0 -0.0; -0.0 -0.0; -0.0 -0.0]
x_pb,"[100137.0, 7451.0, 55253.0, -0.0]"
s_bb,[-0.0 -0.0; -0.0 -0.0; -0.0 -0.0; -0.0 -0.0; -0.0 -0.0; -0.0 -0.0; -0.0 -0.0; -0.0 -0.0; -0.0 -0.0]
x_bb,"[244327.0, 159116.0, 159116.0, 159116.0]"
x_box,"[162842.0, 162841.0, 162841.0, 233151.0]"
partition_bb,"[[[33379.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 33379.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 33379.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 16690.0, 0.0, 0.0, 0.0, 16690.0, 0.0, 0.0], [0.0, 18642.0, 5418.0, 0.0, 9321.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 25929.0, 7451.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 7451.0, 0.0, 0.0, 25929.0, 0.0, 0.0], [0.0, 27898.0, 0.0, 0.0, 0.0, 5482.0, 0.0, 0.0, 0.0], [0.0, 29582.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3798.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 3725.0, 29654.0, 0.0, 0.0], [0.0, 0.0, 0.0, 6998.0, 0.0, 0.0, 23110.0, 0.0, 3273.0]], [[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 33379.0, 0.0, 0.0], [20262.0, 0.0, 0.0, 0.0, 9321.0, 0.0, 0.0, 3798.0, 0.0], [0.0, 0.0, 24059.0, 0.0, 9321.0, 0.0, 0.0, 0.0, 0.0], [0.0, 9321.0, 14739.0, 0.0, 9321.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 3725.0, 0.0, 0.0, 29654.0, 0.0, 0.0], [23535.0, 0.0, 0.0, 0.0, 0.0, 5482.0, 1091.0, 0.0, 3273.0]]]"
evol_zeta,"[[0.972, 33379.0], [1.273, 33379.0], [1.285, 33379.0], [1.293, 33379.0], [1.299, 16689.5], [1.311, 9320.0107], [1.327, 14660.5], [1.349, 14660.5], [1.373, 9320.010700000028], [1.394, 9320.0107], [1.413, 7450.342899999989], [1.427, 7450.3429], [1.445, 7329.999999999996], [1.457, 7329.999999999996], [1.477, 6729.0], [1.494, 5481.709999999992], [1.515, 13325.0], [1.532, 9320.010700000013], [1.551, 9320.0107], [1.567, 9319.999999999998], [1.588, 7450.342899999989], [1.626, 9320.010700000013], [1.69, 4660.0], [1.768, 3797.095900000015], [1.811, 7450.3429], [1.847, 10985.0], [1.916, 7450.342899999989], [2.024, 7450.342900000008], [2.127, 4224.5], [2.177, 7259.5], [2.217, 7450.342899999989], [2.29, 5753.5], [2.365, 3725.0], [2.415, 3433.5], [2.496, 3272.470499999996], [2.618, 3272.4704999999813], [2.721, 3364.500000000002], [2.879, 3364.499999999997], [3.008, 3364.5], [3.139, 1682.0000001683002], [3.188, 1682.0], [3.309, 1682.0], [3.423, 1356.0], [3.667, 5481.709999999992], [3.774, 3272.0], [3.962, 3176.5], [4.107, 2287.5], [4.257, 1621.0], [4.414, 1716.5], [4.599, 868.0], [4.721, 858.0], [4.868, 810.4999999999973], [4.995, 1143.5], [5.119, 677.9999999999927], [5.384, 2547.5], [5.502, 795.5], [5.618, 707.5], [5.738, 571.5], [5.881, 285.5], [5.992, 230.0], [6.124, 434.0], [6.275, 244.0], [6.409, 217.0], [6.545, 217.0], [6.695, 217.0], [6.838, 142.5], [7.013, 122.0], [7.17, 61.0], [7.355, 61.0], [7.505, 50.5], [7.682, 54.499999999991815], [7.839, 40.5], [8.021, 34.0], [8.201, 30.5], [8.342, 15.000000000014552], [8.528, 17.0], [8.715, 13.000000000008185], [8.868, 71.0], [9.037, 35.5], [9.179, 17.5], [9.338, 11.5], [9.566, 9.5], [9.749, 8.5], [9.912, 6.0000000000009095], [10.145, 4.0], [10.301, 5.5], [10.48, 2.5], [10.661, 2.5], [10.91, 1.9999999999922693], [11.282, 1.0000000002000888], [11.481, 4.0], [11.725, 0.9999999999949978], [11.911, 1.0], [12.1, 0.5], [12.298, 2.0], [12.51, 2.0], [12.825, 1.0], [12.961, 0.5000000001500666], [13.214, 1.0], [13.533, 0.5000000001500666], [13.759, 0.5], [13.946, 0.0]]"
