first,second
s_box,[9.0 12.0 12.0; 16.0 15.0 16.0; 2.0 0.0 0.0; 0.0 -0.0 0.0; 0.0 0.0 0.0; 0.0 0.0 0.0; 0.0 0.0 0.0; 0.0 -0.0 0.0; 0.0 0.0 -0.0; 1.0 1.0 -0.0]
x_pb,"[61.0, 26.0, 45.0, 41.0]"
s_bb,[12.0 11.0 12.0; 15.0 16.0 16.0; -0.0 0.0 -0.0; -0.0 0.0 -0.0; -0.0 0.0 -0.0; -0.0 -0.0 -0.0; -0.0 1.0 -0.0; -0.0 -0.0 -0.0; -0.0 -0.0 -0.0; 1.0 -0.0 -0.0]
partition_bb,"[[[12.0, 18.0, 8.0, 7.0, 4.0, 15.0, 7.0, 8.0, 15.0, 34.0], [12.0, 18.0, 8.0, 9.0, 19.0, 11.0, 9.0, 16.0, 9.0, 26.0], [12.0, 18.0, 11.0, 10.0, 11.0, 26.0, 9.0, 16.0, 20.0, 41.0], [12.0, 18.0, 8.0, 7.0, 25.0, 11.0, 9.0, 16.0, 17.0, 38.0], [12.0, 18.0, 13.0, 14.0, 24.0, 9.0, 9.0, 14.0, 20.0, 41.0], [9.0, 15.0, 12.0, 13.0, 28.0, 13.0, 9.0, 14.0, 20.0, 41.0], [12.0, 18.0, 10.0, 11.0, 31.0, 16.0, 9.0, 14.0, 20.0, 41.0], [10.0, 16.0, 11.0, 12.0, 32.0, 17.0, 7.0, 12.0, 18.0, 39.0]], [[0.0, 3.0, 13.0, 14.0, 34.0, 25.0, 9.0, 14.0, 20.0, 41.0], [9.0, 12.0, 11.0, 10.0, 28.0, 19.0, 9.0, 14.0, 20.0, 41.0], [12.0, 6.0, 7.0, 8.0, 28.0, 26.0, 9.0, 16.0, 20.0, 41.0], [9.0, 15.0, 10.0, 11.0, 31.0, 16.0, 9.0, 14.0, 20.0, 41.0], [10.0, 16.0, 12.0, 13.0, 33.0, 18.0, 7.0, 12.0, 18.0, 39.0]], [[12.0, 18.0, 13.0, 14.0, 34.0, 26.0, 9.0, 13.0, 20.0, 11.0], [12.0, 18.0, 13.0, 14.0, 34.0, 19.0, 7.0, 14.0, 11.0, 32.0], [12.0, 18.0, 11.0, 12.0, 32.0, 17.0, 6.0, 11.0, 17.0, 38.0], [12.0, 17.0, 13.0, 14.0, 34.0, 19.0, 9.0, 16.0, 9.0, 30.0], [11.0, 17.0, 12.0, 13.0, 33.0, 18.0, 7.0, 12.0, 18.0, 39.0]]]"
y_box,[3.0 0.0 11.0 14.0 34.0 0.0 0.0 0.0 0.0 0.0; 0.0 0.0 0.0 0.0 0.0 26.0 1.0 0.0 0.0 0.0; 0.0 0.0 0.0 0.0 0.0 0.0 8.0 16.0 20.0 0.0; 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 40.0;;; 0.0 3.0 13.0 14.0 32.0 0.0 0.0 -0.0 0.0 0.0; 0.0 0.0 0.0 -0.0 0.0 26.0 1.0 -0.0 0.0 0.0; 0.0 0.0 0.0 -0.0 0.0 0.0 8.0 16.0 20.0 0.0; 0.0 0.0 0.0 -0.0 0.0 0.0 0.0 -0.0 0.0 40.0;;; 0.0 2.0 13.0 14.0 33.0 0.0 0.0 0.0 -0.0 -0.0; 0.0 0.0 0.0 0.0 1.0 26.0 0.0 0.0 -0.0 -0.0; 0.0 0.0 0.0 0.0 0.0 0.0 9.0 16.0 19.0 -0.0; -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 1.0 39.0]
evol_bb,"[[0.275, 3.461509081230009e6], [0.431, 3.4615090812300085e6], [7.609, 3.231040168437588e6], [93.456, 3.231040168437587e6], [223.248, 3.2310401684375666e6], [424.953, 3.231040168437537e6]]"
y_bb,[-0.0 3.0 13.0 14.0 32.0 -0.0 -0.0 -0.0 -0.0 -0.0; -0.0 -0.0 -0.0 -0.0 -0.0 26.0 1.0 -0.0 -0.0 -0.0; -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 8.0 16.0 20.0 -0.0; -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 40.0;;; 1.0 0.0 13.0 14.0 34.0 -0.0 -0.0 -0.0 -0.0 -0.0; -0.0 -0.0 -0.0 -0.0 -0.0 26.0 1.0 -0.0 -0.0 -0.0; -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 7.0 16.0 20.0 1.0; -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 40.0;;; -0.0 2.0 13.0 14.0 33.0 -0.0 -0.0 -0.0 -0.0 -0.0; -0.0 -0.0 -0.0 -0.0 1.0 26.0 -0.0 -0.0 -0.0 -0.0; -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 9.0 16.0 19.0 -0.0; -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 1.0 39.0]
evol_box,"[[0.412, 0.0], [1.983, 3260.2832384957], [2.066, 3923.7029327104383], [2.096, 3923.7029327104383], [2.147, 119404.15725518407], [2.214, 2.424336234004463e6], [2.292, 2.424336234004463e6], [2.383, 2.424336234004463e6], [2.495, 2.424336234004463e6], [2.695, 2.5394640520080887e6], [2.845, 2.7699662123587336e6], [3.079, 3.115764259139604e6], [3.202, 3.1157642591396044e6], [3.535, 3.11576415651472e6], [3.644, 3.115764259139605e6], [3.863, 3.1157642591396044e6], [4.034, 3.115764259139605e6], [4.311, 3.115764259139605e6], [4.47, 3.1157703670681887e6], [4.755, 3.1157703670681873e6], [5.02, 3.1157703670681887e6], [5.457, 3.1157847988214935e6], [5.641, 3.115784798821494e6], [6.03, 3.1157847988214935e6], [6.349, 3.115784798821494e6], [6.547, 3.1157847988214935e6], [6.951, 3.1157847988214935e6], [7.347, 3.115784798821494e6], [7.791, 3.1158081243738136e6], [8.146, 3.11580812437383e6], [8.436, 3.11580812437383e6], [8.994, 3.11580812437383e6], [9.658, 3.2309532311632633e6], [10.086, 3.2309978239245284e6], [10.466, 3.230997823924529e6], [10.861, 3.2309978239245284e6], [11.431, 3.230997823924529e6], [11.705, 3.230997823924529e6], [12.141, 3.230997743570022e6], [12.528, 3.230997823924529e6], [12.914, 3.230997757086026e6], [13.422, 3.231026226290998e6], [14.343, 3.2310262262909985e6], [15.099, 3.231026226290999e6], [15.548, 3.231040168437609e6], [15.904, 3.2310401684376383e6], [16.588, 3.2310401684376383e6]]"
y_pb,[[-0.0 0.0 13.0 14.0 34.0 -0.0 -0.0 -0.0 -0.0 -0.0; -0.0 -0.0 -0.0 -0.0 -0.0 26.0 -0.0 -0.0 -0.0 -0.0; -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 9.0 16.0 20.0 -0.0; -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 41.0;;;]]
x_bb,"[62.0, 27.0, 44.0, 40.0]"
