first,second
y_bb,[6621.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0; 0.0 -0.0 -0.0 0.0 -0.0 0.0 0.0 -0.0 -0.0; -0.0 -0.0 33379.0 -0.0 0.0 -0.0 -0.0 0.0 0.0; -0.0 0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0;;; 0.0 -0.0 -0.0 6621.0 -0.0 0.0 -0.0 0.0 -0.0; 0.0 -0.0 -0.0 -0.0 0.0 -0.0 -0.0 -0.0 -0.0; 7451.0 -0.0 -0.0 830.0 9200.0 5482.0 -0.0 3798.0 -0.0; 0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0;;; -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0; -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0; -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0; -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0;;; -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0; -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0; -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0; -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0;;; -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0; -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0; -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0; -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0]
evol_box,"[[0.43, 0.0], [1.109, 100137.0], [1.204, 2.6202515e6], [1.237, 2.6202515e6], [1.313, 2.764364e6], [1.4, 2.764364e6], [1.472, 2.315954951e9], [1.651, 2.3162958225e9], [1.894, 2.3169646666000004e9], [2.107, 2.317182128e9], [2.603, 2.3177375928e9], [3.002, 3.5956399041000004e9], [3.963, 3.595907599e9], [4.742, 3.6821727917000003e9], [5.885, 4.8751299041e9], [7.419, 4.8751299041e9], [9.304, 4.8751805665e9], [10.347, 4.8751805665e9], [12.047, 4.8751827917e9], [13.086, 4.875397599e9], [15.043, 4.9087726975e9], [16.567, 5.7069924378e9], [18.421, 5.7397515065e9], [20.098, 5.7397515065e9], [23.584, 6.154796703e9], [26.184, 6.154887599e9], [29.828, 6.1546434125e9], [34.702, 6.1550502801e9], [45.745, 6.1556117471e9], [55.6, 6.1556435024e9], [74.896, 6.3791726484e9], [89.693, 6.7944799041e9], [112.482, 7.0189599041e9], [134.549, 7.0190252981e9], [159.815, 7.019227599e9], [189.887, 7.0525904259e9], [236.879, 7.2287666333e9], [265.894, 7.4343399041e9], [302.3, 7.4530515492e9], [359.729, 7.4773732215e9], [414.5, 7.4773732215e9], [474.029, 7.8505797829e9], [581.692, 8.0737425525e9], [673.831, 8.0741464579e9], [784.506, 8.0739874265e9], [1049.332, 8.074038621e9], [1511.592, 8.0928299041e9], [1702.575, 8.0933381685e9], [2380.868, 8.2799536483e9], [2628.147, 8.2803422915e9], [3141.811, 8.298529324e9], [3447.226, 8.2986974265e9], [3825.726, 8.2986974265e9], [4178.113, 8.2986974265e9], [5016.668, 8.4647399041e9], [5961.971, 8.4854399041e9], [6900.913, 8.4860749778e9], [7200.03, 8.7291977372e9]]"
y_pb,[[23310.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0; 0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0; -0.0 -0.0 16690.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0; -0.0 0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0;;; 16690.0 6620.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0; 0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0; -0.0 -0.0 16690.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0; -0.0 0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0;;; 16690.0 6620.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0; 0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0; -0.0 -0.0 16690.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0; -0.0 0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0;;; 17521.0 5789.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0; 0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0; -0.0 -0.0 16690.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0; -0.0 0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0;;; 17991.0 5319.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0; 0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0; -0.0 -0.0 16690.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0; -0.0 0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0;;; 17140.0 6170.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0; 0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0; -0.0 -0.0 16690.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0; -0.0 0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0;;; 16690.0 6620.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0; 0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0; -0.0 -0.0 16690.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0; -0.0 0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0;;; 16906.0 6404.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0; 0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0; -0.0 -0.0 16690.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0; -0.0 0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0;;; 16850.0 6460.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0; 0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0; -0.0 -0.0 16690.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0; -0.0 0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0]]
s_box,[4570.0 0.0 0.0 0.0 0.0; 33379.0 16690.0 0.0 24061.0 0.0; 0.0 0.0 30495.0 13883.0 0.0; 0.0 0.0 7451.0 0.0 7451.0; 0.0 0.0 0.0 0.0 3677.0; 0.0 0.0 0.0 0.0 0.0; 0.0 21246.0 0.0 0.0 25035.0; 0.0 0.0 0.0 0.0 1789.0; 0.0 0.0 0.0 0.0 0.0]
x_pb,"[23310.0, -0.0, 16690.0, -0.0]"
s_bb,[26758.0 -0.0 -0.0 -0.0 -0.0; 33379.0 -0.0 -0.0 -0.0 -0.0; -0.0 -0.0 -0.0 -0.0 -0.0; 7451.0 -0.0 -0.0 -0.0 -0.0; 9321.0 -0.0 -0.0 -0.0 -0.0; 5482.0 -0.0 -0.0 -0.0 -0.0; 33379.0 -0.0 -0.0 -0.0 -0.0; 3798.0 -0.0 -0.0 -0.0 -0.0; 3273.0 -0.0 -0.0 -0.0 -0.0]
x_bb,"[6621.0, -0.0, 33379.0, -0.0]"
x_box,"[34356.0, 0.0, 5644.0, 0.0]"
partition_bb,"[[[33379.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 33379.0, 0.0, 0.0], [0.0, 0.0, 33379.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 33379.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [9321.0, 11467.0, 0.0, 0.0, 9321.0, 0.0, 0.0, 0.0, 3273.0], [14902.0, 0.0, 0.0, 7451.0, 0.0, 0.0, 7451.0, 3577.0, 0.0], [18619.0, 0.0, 5482.0, 0.0, 0.0, 5482.0, 0.0, 3798.0, 0.0]], [[7451.0, 0.0, 0.0, 7451.0, 9200.0, 5482.0, 0.0, 3798.0, 0.0]], Vector{Float64}[], Vector{Float64}[], Vector{Float64}[]]"
evol_zeta,"[[0.921, 33379.0], [1.198, 33379.0], [1.23, 33379.0], [1.253, 33379.0], [1.331, 16689.5], [1.418, 16689.5], [1.487, 16689.5], [1.658, 16689.5], [1.9, 16689.5], [2.117, 11126.333333333332], [2.619, 11126.333333333332], [3.011, 11126.333333333332], [3.992, 10749.0], [4.774, 11126.333333333332], [5.923, 9320.010700000028], [7.508, 9320.010700000028], [9.32, 10938.0], [10.371, 9320.010700000013], [12.07, 9320.010700000028], [13.151, 9320.010700000028], [15.067, 9320.010700000028], [16.582, 9320.0], [18.477, 8344.5], [20.152, 8344.500000000018], [23.611, 8344.5], [26.207, 8344.5], [29.881, 8344.5], [34.791, 8344.5], [45.804, 8344.499999999998], [55.664, 9320.003055483172], [74.937, 7450.342899999989], [89.743, 8344.75], [112.513, 8344.75], [134.583, 8344.5], [159.841, 8344.5], [189.919, 8344.499999999998], [236.919, 8344.75], [265.922, 8019.333333333334], [302.332, 8344.5], [359.793, 7450.342899999989], [414.557, 8019.333333333333], [474.085, 7450.342899999989], [581.744, 7450.342900000003], [673.886, 7450.342899999989], [784.584, 7450.3429], [1049.414, 7450.342900000003], [1511.65, 7417.333333333334], [1702.639, 7417.333334075171], [2380.926, 7417.333333333334], [2628.173, 7417.333349467218], [3141.851, 7417.333334075172], [3447.272, 7417.333349467222], [3825.762, 7417.333334075171], [4178.138, 7417.333349467211], [5016.699, 7450.3429], [5961.994, 7450.3429], [6900.946, 7450.342900000003], [7200.052, 0.0]]"
