first,second
y_bb,[17823.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0; -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0; -0.0 -0.0 16690.0 -0.0 9321.0 515.0 -0.0 -0.0 -0.0; -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0;;; 16690.0 1133.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0; -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0; -0.0 -0.0 26526.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0; -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0]
evol_box,"[[0.51, 0.0], [1.258, 100137.0], [1.376, 2.6202515e6], [1.399, 5.154207435e9], [1.409, 5.1553657146e9], [1.423, 5.1553793735e9], [1.452, 8.992879680300001e9], [1.471, 8.9928790616e9], [1.486, 8.9928449631e9], [1.501, 8.9949348397e9], [1.64, 1.21916729511e10], [1.718, 1.21916729511e10], [1.823, 1.2831567998e10], [1.976, 1.2831567998e10], [2.131, 1.2831809680300001e10], [2.236, 1.3471431272800001e10], [2.403, 1.3471431272800001e10], [2.51, 1.4975397998e10], [2.64, 1.58058929511e10], [2.805, 1.58238890747e10], [2.986, 1.61437629511e10], [3.159, 1.6221577435e10], [3.354, 1.62217329511e10], [3.534, 1.62217723856e10], [3.769, 1.67843134447e10], [4.139, 1.70522629511e10], [4.313, 1.70522673391e10], [4.583, 1.70524929511e10], [5.081, 1.73384140332e10], [5.327, 1.7562632951100002e10], [5.527, 1.76585434447e10], [5.706, 1.7914762951100002e10], [6.029, 1.7935307435e10], [6.314, 1.7935502385600002e10], [6.489, 1.7949987998e10], [6.778, 1.7949987998e10], [7.361, 1.8159712951100002e10], [7.723, 1.85551101062e10], [7.946, 1.85551101062e10], [8.16, 1.8589812951100002e10], [8.411, 1.85898512728e10], [8.665, 1.8823492951100002e10], [9.372, 1.8823492951100002e10], [9.646, 1.8823492951100002e10], [9.865, 1.8823492951100002e10], [10.396, 1.8823492951100002e10], [10.819, 1.8889502951100002e10], [11.745, 1.8917828168100002e10], [12.008, 1.9096502951100002e10], [12.214, 1.9385382951100002e10], [12.521, 1.9496242951100002e10], [12.868, 1.9496242951100002e10], [13.308, 1.9516252951100002e10], [13.546, 1.9566162951100002e10], [13.805, 1.9566162951100002e10], [14.049, 1.9575362951100002e10], [14.401, 1.9575362951100002e10], [14.653, 1.9575362951100002e10], [15.013, 1.95758265925e10], [15.467, 1.9576057339100002e10], [16.056, 1.95760677985e10], [16.652, 1.95760919035e10], [16.886, 1.9576282951100002e10], [17.357, 1.9576282951100002e10], [17.989, 1.9576282951100002e10], [18.32, 1.9576282951100002e10], [18.759, 1.9576282951100002e10], [19.003, 1.9576282951100002e10], [19.249, 1.9576282951100002e10], [19.553, 1.9576282951100002e10], [20.718, 1.9576282951100002e10], [21.324, 1.9576282951100002e10], [21.669, 1.9576282951100002e10], [22.144, 1.9576282951100002e10], [22.687, 1.9576282951100002e10], [23.116, 1.9576282951100002e10], [23.406, 1.9576282951100002e10], [23.786, 1.9576282951100002e10], [24.047, 1.9576282951100002e10], [24.336, 1.9576282951100002e10], [24.597, 1.9576282951100002e10], [25.111, 1.9576282951100002e10], [25.426, 1.9576282951100002e10], [25.821, 1.9576282951100002e10], [26.191, 1.9576282951100002e10], [26.616, 1.9576282951100002e10], [27.074, 1.9576282951100002e10], [27.402, 1.9576282951100002e10], [27.709, 1.9576282951100002e10], [27.975, 1.9576282951100002e10], [28.333, 1.9576286594600002e10]]"
y_pb,[[10970.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0; 0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0; -0.0 -0.0 33379.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0; -0.0 0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0;;;]]
s_box,[3985.0 20522.0; 16690.0 33379.0; 1735.0 -0.0; 7451.0 7451.0; 9321.0 0.0; 5482.0 0.0; 33379.0 16689.0; 3798.0 3798.0; 3273.0 3273.0]
x_pb,"[10970.0, -0.0, 33379.0, -0.0]"
s_bb,[15556.0 -0.0; 33379.0 15557.0; -0.0 6853.0; 7451.0 7451.0; -0.0 9321.0; 4967.0 5482.0; 16689.0 33379.0; 3798.0 3798.0; 3273.0 3273.0]
x_bb,"[17823.0, -0.0, 26526.0, -0.0]"
x_box,"[12705.0, 0.0, 31644.0, -0.0]"
partition_bb,"[[[33379.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 33379.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 16690.0, 16690.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [25035.0, 0.0, 0.0, 0.0, 8345.0, 0.0, 0.0, 0.0, 0.0], [25035.0, 0.0, 0.0, 0.0, 0.0, 0.0, 8345.0, 0.0, 0.0], [25929.0, 0.0, 0.0, 7451.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 7451.0, 9321.0, 5482.0, 4058.0, 3798.0, 3273.0], [20862.0, 0.0, 0.0, 0.0, 0.0, 0.0, 12517.0, 0.0, 0.0], [0.0, 14318.0, 0.0, 0.0, 0.0, 0.0, 15790.0, 0.0, 3273.0], [0.0, 17140.0, 0.0, 0.0, 0.0, 0.0, 16240.0, 0.0, 0.0], [16915.0, 0.0, 0.0, 0.0, 0.0, 0.0, 16465.0, 0.0, 0.0], [0.0, 16802.0, 0.0, 0.0, 0.0, 0.0, 16577.0, 0.0, 0.0], [16746.0, 0.0, 0.0, 0.0, 0.0, 0.0, 16633.0, 0.0, 0.0], [0.0, 16718.0, 0.0, 0.0, 0.0, 0.0, 16661.0, 0.0, 0.0], [16704.0, 0.0, 0.0, 0.0, 0.0, 0.0, 16675.0, 0.0, 0.0], [16697.0, 0.0, 0.0, 0.0, 0.0, 0.0, 16682.0, 0.0, 0.0], [16694.0, 0.0, 0.0, 0.0, 0.0, 0.0, 16686.0, 0.0, 0.0], [16692.0, 0.0, 0.0, 0.0, 0.0, 0.0, 16688.0, 0.0, 0.0], [0.0, 16691.0, 0.0, 0.0, 0.0, 0.0, 16689.0, 0.0, 0.0]], [[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 33379.0, 0.0, 0.0], [0.0, 0.0, 33379.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [16690.0, 0.0, 0.0, 0.0, 0.0, 0.0, 16690.0, 0.0, 0.0], [0.0, 16690.0, 0.0, 0.0, 0.0, 0.0, 16690.0, 0.0, 0.0], [0.0, 0.0, 14739.0, 0.0, 9321.0, 0.0, 9321.0, 0.0, 0.0], [0.0, 0.0, 16609.0, 7451.0, 9321.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 24101.0, 0.0, 0.0, 5482.0, 0.0, 3798.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 5482.0, 20828.0, 3798.0, 3273.0]]]"
evol_zeta,"[[1.016, 33379.0], [1.368, 33379.0], [1.386, 33379.0], [1.401, 33379.0], [1.414, 16689.5], [1.433, 16689.5], [1.458, 13907.5], [1.474, 16689.5], [1.49, 16689.5], [1.508, 16689.5], [1.652, 9735.5], [1.73, 9320.010700000013], [1.834, 9320.010700000013], [1.987, 9320.0107], [2.144, 9320.010699999992], [2.248, 9320.010700000013], [2.409, 9320.0107], [2.515, 7520.0], [2.646, 8344.5], [2.808, 7450.342899999989], [2.99, 9320.010700000013], [3.197, 8344.5], [3.359, 8344.5], [3.54, 7450.342899999989], [3.781, 9320.010700000013], [4.151, 8344.499999999996], [4.328, 8344.5], [4.595, 7450.3429], [5.093, 7450.3429], [5.348, 5481.709999999992], [5.554, 4867.5], [5.711, 7400.5], [6.038, 8344.5], [6.327, 3797.095900000015], [6.499, 3797.0958999999857], [6.783, 3797.095900000015], [7.369, 5481.71], [7.734, 7368.5], [7.953, 5481.71], [8.174, 4172.0], [8.419, 3797.095900000015], [8.671, 4172.0], [9.382, 4172.0], [9.657, 3272.4705], [9.867, 3272.470499999996], [10.414, 3272.470499999996], [10.829, 3272.470499999996], [11.77, 5481.709999999992], [12.019, 2433.5], [12.224, 3272.4704999999994], [12.529, 1216.5], [12.886, 608.0], [13.314, 304.00000000000364], [13.548, 152.0], [13.807, 47.5], [14.054, 23.5], [14.418, 11.5], [14.655, 5.5], [15.015, 2.5], [15.479, 8344.499999999996], [16.063, 0.999999999996362], [16.674, 0.500000000003638], [16.899, 2086.0], [17.38, 1043.0], [17.991, 521.5], [18.33, 177.0], [18.765, 1708.5], [19.014, 88.5], [19.255, 44.0], [19.567, 44.0], [20.751, 854.0], [21.347, 427.0], [21.674, 22.0], [22.152, 11.0], [22.693, 5.5], [23.118, 213.5], [23.419, 106.5], [23.788, 53.0], [24.05, 2.5], [24.339, 26.50000000000182], [24.599, 1.5], [25.119, 1.0], [25.462, 11.0], [25.831, 5.5], [26.201, 2.5], [26.621, 0.5], [27.08, 1.0], [27.408, 0.5], [27.713, 0.5], [27.98, 0.5], [28.339, 3.201421350240708e-10]]"
