first,second
y_bb,[-0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0; -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0; -0.0 -0.0 8000.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0; -0.0 0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0;;; -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0; -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0; -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0; -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0;;; -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0; -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0; -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0; -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0;;; -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0; -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0; -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0; -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0;;; -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0; -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0; -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0; -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0]
evol_box,"[[0.464, 0.0], [1.158, 5.837194e9], [1.265, 5.837798e9], [1.288, 5.83817e9], [1.318, 5.83817e9], [1.345, 5.8379561271e9], [1.517, 9.6758772e9], [2.093, 9.675897095e9], [2.501, 9.675897095e9], [2.81, 9.675897095e9], [3.058, 9.6758972e9], [3.536, 9.6762435496e9], [4.33, 1.09555972e10], [5.486, 1.22350872e10], [6.668, 1.22350872e10], [8.522, 1.22350872e10], [10.549, 1.22350872e10], [12.461, 1.2235107095e10], [14.85, 1.23470972e10], [17.15, 1.30660826201e10], [20.063, 1.30660826201e10], [23.322, 1.35143472e10], [25.311, 1.35145772e10], [28.214, 1.35143472e10], [30.344, 1.35145772e10], [33.956, 1.35148072e10], [36.993, 1.3514594e10], [40.809, 1.35148072e10], [45.065, 1.35148072e10], [50.93, 1.35148126201e10], [56.721, 1.35152672e10], [70.847, 1.37390572e10], [88.656, 1.39635372e10], [109.304, 1.40290872021e10], [143.586, 1.41079772e10], [157.725, 1.41551272e10], [205.977, 1.42018172e10], [263.648, 1.52096772e10], [329.317, 1.5228094e10], [404.462, 1.52280942124e10], [517.013, 1.52283072e10], [661.086, 1.52283072e10], [880.415, 1.54336972e10], [994.887, 1.54339272e10], [1297.629, 1.54339272e10], [1552.098, 1.54527872e10], [2206.961, 1.56584072e10], [2566.2, 1.56586372e10], [2828.317, 1.56588672e10], [3273.233, 1.56588672e10], [3942.495, 1.59017472e10], [4856.97, 1.60737872e10], [5770.435, 1.60737872e10], [7200.028, 1.61262272e10]]"
y_pb,[[0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0; 0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0; -0.0 -0.0 8000.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0; -0.0 0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0;;; 0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0; 0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0; -0.0 -0.0 8000.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0; -0.0 0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0;;; 0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0; 0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0; -0.0 -0.0 8000.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0; -0.0 0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0;;; 0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0; 0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0; -0.0 -0.0 8000.0 -0.0 0.0 -0.0 -0.0 -0.0 -0.0; -0.0 0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0;;; 0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0; 0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0; -0.0 -0.0 8000.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0; -0.0 0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0;;; 0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0; 0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0; -0.0 -0.0 8000.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0; -0.0 0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0;;; 0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0; 0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0; -0.0 -0.0 8000.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0; -0.0 0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0;;; 0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0; 0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0; -0.0 -0.0 8000.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0; -0.0 0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0;;; 0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0; 0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0; -0.0 -0.0 8000.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0; -0.0 0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0 -0.0]]
s_box,[33379.0 11127.0 0.0 25929.0 9321.0; 0.0 16690.0 33379.0 25035.0 9321.0; 18723.0 16690.0 0.0 3028.0 25379.0; 0.0 0.0 0.0 7451.0 7451.0; 1321.0 0.0 9321.0 8669.0 9321.0; 0.0 0.0 5418.0 0.0 0.0; 16690.0 25379.0 18718.0 0.0 9321.0; 0.0 0.0 0.0 0.0 0.0; 0.0 0.0 0.0 0.0 0.0]
x_pb,"[0.0, -0.0, 8000.0, -0.0]"
s_bb,[33379.0 -0.0 -0.0 -0.0 -0.0; 33379.0 -0.0 -0.0 -0.0 -0.0; 25379.0 -0.0 -0.0 -0.0 -0.0; 7451.0 -0.0 -0.0 -0.0 -0.0; 9321.0 -0.0 -0.0 -0.0 -0.0; 5482.0 -0.0 -0.0 -0.0 -0.0; 33379.0 -0.0 -0.0 -0.0 -0.0; 3798.0 -0.0 -0.0 -0.0 -0.0; 3273.0 -0.0 -0.0 -0.0 -0.0]
x_bb,"[0.0, -0.0, 8000.0, 0.0]"
x_box,"[0.0, 0.0, 8000.0, 0.0]"
partition_bb,"[[[33379.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 33379.0, 0.0, 0.0], [0.0, 0.0, 33379.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 33379.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [9321.0, 11467.0, 0.0, 0.0, 9321.0, 0.0, 0.0, 0.0, 3273.0], [7451.0, 0.0, 0.0, 7451.0, 9200.0, 5482.0, 0.0, 3798.0, 0.0]], Vector{Float64}[], Vector{Float64}[], Vector{Float64}[], Vector{Float64}[]]"
evol_zeta,"[[0.959, 33379.0], [1.255, 33379.0], [1.274, 33379.0], [1.297, 33379.0], [1.324, 16689.5], [1.353, 16689.5], [1.524, 16689.5], [2.099, 16689.5], [2.508, 16689.5], [2.819, 11126.333333333332], [3.073, 16689.5], [3.546, 11126.333333333332], [4.346, 11126.333333333332], [5.512, 9320.010700000028], [6.695, 9320.010700000013], [8.543, 9523.666666666668], [10.575, 9320.010700000028], [12.515, 9320.010700000028], [14.877, 9320.010700000013], [17.176, 9320.010700000028], [20.094, 9320.0], [23.343, 9320.010700000006], [25.338, 8344.5], [28.234, 8344.5], [30.371, 8344.5], [33.977, 8556.0], [37.019, 8344.5], [40.837, 8344.5], [45.099, 8344.5], [50.962, 8344.5], [56.752, 8344.5], [70.878, 8344.5], [88.686, 8344.75], [109.332, 8344.5], [143.619, 8344.5], [157.746, 8344.5], [206.006, 7450.342899999989], [263.672, 8344.5], [329.353, 7450.342899999989], [404.487, 7450.342899999989], [517.041, 7450.342900000003], [661.114, 7450.342899999989], [880.447, 7450.342900000018], [994.915, 7450.3429], [1297.656, 7450.3429], [1552.124, 7450.342900000003], [2206.986, 7417.333333333334], [2566.225, 7450.342900000009], [2828.344, 7417.333333333334], [3273.269, 7417.333334075171], [3942.522, 8019.333333333333], [4856.993, 8019.333333333333], [5770.476, 7450.342899999989], [7200.053, 0.0]]"
